,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,$113K – $160K/yr (Employer est.),"Company Description

Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.
Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.

Job Description

Are you skilled at turning hard numbers into compelling stories and useful strategic insights? Do you solve complex data challenges with creative flair? Put those skills to work answering strategic questions for one of the world's most respected and innovative payments companies.
In this role, you will be responsible for a range of duties from basic data analytics, to implementing and delivering advanced machine learning models, visualization solutions and high impact business projects. You will get chance to leverage your business acumen, programming skills, technical knowledge of big data and machine learning techniques. This function is critical in building market-relevant fraud solutions for our clients and intellectual property for Visa.
The position will be based in Atlanta, GA or Washington DC
Essential Functions
Build and validate predictive models with advanced machine learning techniques and tools to drive business value, interpret and present modeling and analytical results to non-technical audience
Write predictive model software packages for production deployment, support model installations, monitor and calibrate production models
Conduct statistical analyses on various internal and external data sources with big data tools like Hadoop and Spark to identify interesting and valuable insights and trends, produce visualization and reports to internal business and product customers
Develop insights from data into products using advanced statistical and machine learning methods
Find opportunities to create and automate repeatable analyses or build self-service tools for business users
Support sales and marketing efforts with sound statistical and financial analysis, execute ad-hoc analyses to meet the fast-changing market demands
Develop business requirements and appropriate statistical analysis/prototypes to meet critical business needs
Derive and develop new data attributes/features for modeling to grow analytic products
Work on cross functional teams and collaborate with internal and external stakeholders
This is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office 2-3 set days a week (determined by leadership/site), with a general guidepost of being in the office 50% or more of the time based on business needs.

Qualifications

Basic Qualifications
2 or more years of work experience with a Bachelor’s Degree or an Advanced Degree (e.g. Masters, MBA, JD, MD, or PhD)
Successful internships or 6 month of experience in a predictive modeling function

Preferred Qualifications
3 or more years of work experience with a Bachelor’s Degree or more than 2 years of work experience with an Advanced Degree (e.g. Masters, MBA, JD, MD)
Preference given to candidates with multiple years working experience in predictive modeling functions
Candidates with a PhD in a quantitative field, such as Statistics, Mathematics, Operational Research, Computer Science, Economics, or engineering preferred
Strong background in two or more of the following areas: machine learning/AI algorithms, computations/statistical learning theory, scalable systems (e.g. Spark, Hadoop), large scale data analysis, optimization, functional analysis and deep learning.
Experience with a range advanced techniques and emerging approaches to big data and data science (Python, Spark, TensorFlow, H2O, Dask, etc),extensive experience with SAS/SQL/Hive for extracting and aggregating data
Good oral and written communication skills and attention to details
Must be a team-player and capable of handling multi-tasks in a dynamic environment
Visa and financial/payment industry knowledge or previous experience with fraud modeling is a plus, but not required
Technical Qualifications:
Proficiency in Python programming language
Proficiency in Python data analysis, modeling building and visualization libraries
Proficiency with SQL
Experience with Spark is a plus
Experience with Unix/Linus script and shell programming is a plus
Experience with SAS is a plus but not required

Additional Information

Work Hours: Varies upon the needs of the department.
Travel Requirements: This position requires travel 5-10% of the time.
Mental/Physical Requirements: This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers.
Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.
Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code.
U.S. APPLICANTS ONLY: The estimated salary range for a new hire into this position is 113,000.00 to 159,550.00 USD per year, which may include potential sales incentive payments (if applicable). Salary may vary depending on job-related factors which may include knowledge, skills, experience, and location. In addition, this position may be eligible for bonus and equity. Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program.",4.1,Visa,"Washington, DC",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
1,Data Scientist,$104K – $145K/yr (Employer est.),"At Johnson & Johnson , we believe health is everything. Our strength in healthcare innovation empowers us to build a world where complex diseases are prevented, treated, and cured, where treatments are smarter and less invasive, and solutions are personal. Through our expertise in Innovative Medicine and MedTech, we are uniquely positioned to innovate across the full spectrum of healthcare solutions today to deliver the breakthroughs of tomorrow, and profoundly impact health for humanity.
Johnson & Johnson Innovative Medicine develops treatments that improve the health of people worldwide. Research and development areas encompass oncology, cardiovascular and metabolic disorders, immunology, pulmonary hypertension, neuroscience, and infectious disease. Our goal is to help people live longer, healthier lives. We have produced and marketed many first-in-class prescription medications and are poised to serve the broad needs of the healthcare market – from patients to practitioners and clinics to hospitals. To learn more about Johnson & Johnson Innovative Medicine, visit https://www.jnj.com/us/ .
The Commercial Data Sciences team within Johnson & Johnson Innovative Medicine Business Technology organization is looking for an extraordinary Data Scientist who is passionate about crafting, developing, and fielding data science solutions that drive impact for patients and for Janssen. There are many ways to explore and analyze data, and this powers the excitement and passion of data scientists at Janssen as many business units are eager to use the data to build business value.
In this role you will be someone who stays on the cutting edge of artificial intelligence, data science and advanced analytics research through novel project execution and development of algorithms that influence decisions at various levels in the organization, including but not limited to omnichannel sales and marketing optimization, patient/payer analytics, and related commercially-focused model development.
The role requires both a broad knowledge of existing AI-type algorithms and the creativity to invent and customize when necessary. You will partner with matrixed teams to deliver projects and develop solutions that in turn deliver insights. You will be part of a dynamic, accomplished organization that will support multiple therapeutic areas and commercial functions.
The successful candidate will be responsible for:
Delivery of novel modelling solutions designed to drive the interrogation of datasets for insights in scientific and business application areas. These solutions include the application of specialized approaches in classification, regression, clustering, NLP, image analysis, graph theory and/or other techniques.
Using domain-specific understanding, translates unstructured, complex business problems into the appropriate data problem, model and analytical solutions across multiple projects
Oversee the researching and developing of predictive models and computational methods to guide and influence decision-making outcomes
Develop effective relationships with commercial and medical leaders to ensure utilization and value of information resources and services in multiple projects.
Responsible for advanced data science expertise to multiple cross-functional projects and drive delivery of complex data science solutions that drive value to Johnson and Johnson
Lead and apply ongoing knowledge and awareness in trends, standard methodology and new developments in analytics and data science to influence functional practices.
Collaborates across the Johnson and Johnson Data and AI community to develop best practices and cross functional opportunities that drive value
Oversight of partnerships with multiple third parties, academic or outsourced partners to shape and drive project outcomes and knowledge building
Qualifications
Qualifications

Ph.D. with 2+ years of experience, or M.S. with 3+ years of relevant pharma or healthcare experience, in Computer Sciences, Statistics, Epidemiology, Machine Learning & Artificial Intelligence, Physics, Molecular Biology, Bioinformatics, Computational Informatics, Medical Informatics, Computational Biology or a related discipline.
Experience with at least two of the following: statistical modeling, machine learning, deep learning, causal inference methods, multivariate regression and classification, large language model or forecasting.
At least 2+ years of experience in EHR/EMR, insurance claims, clinical outcomes, or registry data cross different therapeutic areas and diseases.
Track record of consistently delivering on high-impact data science projects
Hands on experience with Python or R, and SQL or Pyspark
Experience with at least one of the following cloud computing platforms: AWS SageMaker, Azure, or Databricks, etc.
Experience with visualization tools such as Tableau or PowerBI, etc.
Must have an understanding and the ability to interpret ML, quantitative methods applied to real-world data.
Ability to understand, shape, and measure the business value of solutions, while managing competing stakeholder priorities and ambiguity.
Enthusiastic about building on and learning new methods and ways to use real world data to change the practice of medicine
Strong communication skills and ability to communicate complex methods and results to diverse audiences.
This position will be based in: Titusville, NJ.
Preferred Qualifications
Experience in life sciences and healthcare.
Experience in observational research study design in a variety of healthcare data sources in pharmaceuticals, tech, consulting or academia.
Familiarity in Statistical Analysis Plan (SAP) generation and execution for observational studies.
Experience working in pharmaceutical or biotech industry with strong knowledge of commercial pharmaceuticals business.
Publication in relevant fields in peer-reviewed journals, conferences, and other scientific proceedings.
Demonstrated ability to build relationships with stakeholders, understand relevant scientific/business challenges at a deep level and translate into data science activities to deliver value to the business
Other:
The anticipated base pay range for this position is $104 to $145K USD
The Company maintains highly competitive, performance-based compensation programs. Under current guidelines, this position is eligible for a 12% annual performance bonus in accordance with the terms of the applicable plan. The annual performance bonus is a cash bonus intended to provide an incentive to achieve annual targeted results by rewarding for individual and the corporation’s performance over a calendar/performance year. Bonuses are awarded at the Company’s discretion on an individual basis.
Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.",4.2,Johnson & Johnson,"Titusville, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
2,Data Scientist,-1,"Description:
The Data Scientist role combines advanced statistical analysis, predictive modeling, and data visualization skills to drive data-driven insights that grow and optimize fundraising strategies for Operation Smile. The Data Scientist leverages donor behavior data to segment donors effectively, forecast fundraising outcomes, and enhance donor engagement and retention efforts. Through clear communication and strategic collaboration, the Data Scientist translates complex data insights into actionable recommendations, supporting informed decision-making and maximizing philanthropic impact.
Work Arrangement Notes:
Those living in the Hampton Roads area follow a hybrid work schedule and report to the office three days per week. Those outside of this area follow a remote work arrangement.
Essential Functions:
Predictive Modeling:
Develop custom scripts and functions in R or Python to automate repetitive data analysis tasks, streamline workflow processes, and enhance the efficiency of fundraising operations.
Use statistical techniques to score constituents based on data from the organization’s internal database. Combine wealth capacity data with generated affinity from predictive models to:
Identify new compelling major gift prospects.
Evaluate the currently managed prospects to find new, untapped opportunities.
Utilize data visualization tools (e.g., Tableau, Power BI) to create compelling visual narratives that communicate fundraising trends, performance metrics, and strategic insights to internal stakeholders and external partners.
RFM Analysis:
Score donors to summarize best givers based on a donor’s recency, frequency, and magnitude of giving.
Identify high-value donor segments and provide insights to tailor fundraising strategies to maximize donor lifetime value and retention.
Year-over-Year Trend Analysis and Benchmarking:
Compare fundraising performance over multiple time periods, sources, and gift funds to identify trends and anomalies that inform future fundraising performance.
Collaborate with cross-functional teams to articulate data-driven fundraising strategies, develop actionable recommendations, and align analytical insights with organizational goals and priorities.
Requirements:
At least three years of statistical analysis or predictive modeling experience.
Working knowledge of Microsoft Excel, PowerPoint, and data visualization software (i.e. PowerBI or Tableau).
A bachelor’s degree or better in Statistics, Data Science, or Math. Comparable professional experience counts too!
Experience using R or Python to perform statistical analyses and create interactive applications (Shiny, Streamlit)
Experience with process automation using custom scripts and functions.
Data visualization skills and the ability to use those skills to tell a compelling story.
Other helpful skills include:
Experience with cloud-based data storage and computing services.
Experience working for or with a non-profit organization.",3.4,OPERATION SMILE INC,Remote,51 to 200 Employees,1982,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $100 million (USD)
3,Growth Data Scientist,$108K – $192K/yr (Employer est.),,4.3,Adobe,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
4,TikTok Product Analysis - Data Scientist,$201K – $296K/yr (Employer est.),,3.4,TikTok,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
5,Computer Vision Data Scientist,$132K – $242K/yr (Employer est.),"Summary

Posted: Mar 2, 2024

Role Number:200540430

Do you have a passion for computer vision and deep learning problems? The Video Engineering Data Analytic and Quality (DAQ) group is looking for a data scientist with a strong emphasis on deep system understanding through data analysis. In this role, you will collaborate with multiple teams (machine learning, quality assurance, cloud infrastructure support, user studies). We work on multiple, related projects requiring a bit of creativity and ingenuity. You will partner with video computer vision teams to improve algorithm quality and guide feature development with data, to deliver amazing computer vision experiences.

Key Qualifications
3+ years relevant industry experience
Solid background in data science, machine learning, Computer vision and statistical data analysis
Demonstrated experience in in-depth analysis of machine learning model failures
Experience crafting, conducting, analyzing, and interpreting experiments and investigations
Advanced programming skills in data manipulation & processing (SQL & Python preferred)
Proven expertise in data wrangling and developing data visualizations & reporting with toolings such as Tableau, Superset, AWS etc.
Self-motivated and curious with creative and critical thinking capabilities to improve data quality evaluation methods for diverse and complex data annotation programs
Outstanding verbal and written communication skills, along with strong collaborative abilities
Experience presenting data to stakeholders


Description

Video Engineering DAQ team is seeking a self-motivated data scientist to research and develop evaluation methods to drive the continuous improvement for Apple’s wide variety of computer vision projects. You will deeply understand algorithm module and design intermediate metrics to evaluate algorithm from telemetry (on-device logging data). You will identify core metrics to track usage and performance for computer vision algorithms on large scale data, and conduct deep-dive failure analysis to find the potential root cause of unexpected performance. You will build and maintain automated pipeline and dashboard for analyzing and visualizing data and present your meaningful findings to communicate up leadership and cross-functional teams.

Education & Experience

BS and a minimum of 3 years relevant industry experience

Additional Requirements

Pay & Benefits
At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $132,300.00 and $241,500.00, and your base pay will depend on your skills, qualifications, experience, and location.

Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses - including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.

Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.

Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics.",4.2,Apple,"Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
6,Data Scientist,$111K – $177K/yr (Glassdoor est.),"Overview:
LMI seeks a Data Scientist to help FEMA effectively evaluate, decide, govern, and execute strategic goals. Join our team of collaborative self-starters focused on delivering practical and efficient solutions to support our client in helping people before, during, and after disasters.

LMI: Innovation at the Pace of Need™

At LMI, we’re reimagining the path from insight to outcome at the new speed of possible. Combining a legacy of over 60 years of federal expertise with our innovation ecosystem, we minimize time to value and accelerate mission success. We energize the brightest minds with emerging technologies to inspire creative solutioning and push the boundaries of capability. LMI advances the pace of progress, enabling our customers to thrive while adapting to evolving mission needs.
Responsibilities:
Provide data analytics to ensure strategic, data-driven decision-making.
Enhance the customer’s business intelligence through state-of-the-art reporting and analytics capabilities.
Deliver sophisticated services that provide clarity and actionable insights across organization mission areas, supporting a common operating picture.
Tasks in this area include, but are not limited to:

Design, Data Visualization, and Reporting: Provide contemporary analysis, information/key word tagging, and visualization tools capable of developing, managing, and maintaining dashboards (e.g., Tableau and Power BI). Apply industry-leading best practices in human-centered design (UI/UX), data management, reporting, and dashboard creation to streamline processes and maximize efficiency in service delivery.

Performance Measurement: Facilitate the development of performance measures and key performance indicators, along with the formulation of detailed plans to evaluate and enhance performance against strategic objectives. Partner with federal staff to identify and act upon high-value, data-informed strategic opportunities that aim to elevate operational success.

Analytics and AI Consultation: Support the planning and development of both AI and analytics solutions that meet the internal needs of the customer. Provide technical expertise across the entire end-to-end analytics process to include data sourcing, data manipulation, data modeling, quality assurance, insight generation, report visualization, report storage, and leadership ingestion.

Strategic Knowledge Management: Conduct stakeholder assessments and apply leading knowledge management practices to provide accessible, current, and secure information to the customer and external audiences. Improve the utility of existing platforms (e.g., SharePoint) and identify new knowledge management tools to enhance customer capabilities.
Qualifications:
Senior: Minimum of a Master's Degree and 10 or more years in Data Analytics
Mid-Level: Minimum of a Bachelor's Degree and 3-10 years in Data Analytics
Experience advising clients on data best practices, methods, and use to generate better informed business and/or mission decisions
Demonstrated experience in developing and delivering AI products and services, including AI Governance frameworks.
Specialized experience in the application of data management policy, providing guidance and insight into data privacy issues and facilitating data sharing.
Experience developing and maintaining dashboards with leading reporting and analytic tools including Tableau and PowerBI
Experience with the Federal Emergency Management Agency (FEMA), Department of Homeland Security (DHS) and/or disaster / crisis management desired
This position requires the ability to pass a government background investigation to obtain DHS Suitability.",4.2,Logistics Management Institute,"Washington, DC",1001 to 5000 Employees,1961,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
7,Data Scientist,$96K – $157K/yr (Glassdoor est.),"In this Role, Your Responsibilities Will Be:
Implement solutions to solve complex business and engineering problems using machine learning, econometrics and operations research techniques
Create customer-focused analytics with data scientist peers
Discover opportunities to improve systems, processes and enterprises through data analytics and automation
Generate reports for decision-making using data visualization tools
Establish and maintain collaboration with other internal teams to apply cloud and edge-computing capabilities for production and proprietary algorithms
Develop in-depth business and domain understanding
Translate analytics techniques published in peer-review journals and conference proceedings into practical solutions for challenges at hand
Who You Are:

You enjoy connecting data to business operations and product engineering. Your passion is to utilize data that enables you to draw conclusions and enables value added decisions. You're motivated by ensuing others have the tools to make far reaching and impactful decisions.

For This Role, You Will Need:
Bachelor's or Master's degree in Econometrics, Operations Research, Engineering or Quantitative field
Must have strong interest in applying, deploying and scaling data driven solutions across business domains (e.g. Finance, Sales and Marketing), Supply Chain and customer-facing projects
Must have experience in data wrangling and modeling in Python or similar language and collaborate using Git
Must be proficient in verifying raw data integrity through automation, test-driven development (TDD) and classic extract-transform-load (ETL) techniques
Proficient in robust statistics, hypothesis testing, experimental design
Must have knowledge in forecasting and time series analysis (e.g. ARIMAX, NARX, LSTM, Transformer)
Experience with modelling techniques for complex systems and machine learning
Excellent verbal and written communication skills
Ability to work on virtual teams with members around the globe
Ability to translate ambiguous business problem into actionable analytics and data science tasks
Preferred Qualifications that Set You Apart:
Master's or Doctorate's degree in Econometrics, Operations Research, Engineering or Quantitative field
Demonstrated knowledge in applying forecasting and/or analytics to solve practical problems through peer-review journal publications, conference proceedings or graduate thesis
Demonstrated experience in proposing an original and innovative initiative, executing the idea and presenting the findings with other domain expert(s)
Demonstrated experience in managing project(s) or research and acted as a change agent
Experience in game theory, system identification, mathematical programming, scheduling, queuing theory and reinforcement learning
Experience with Docker, Azure DevOps, Agile sprints
Familiar with basic SQL commands (e.g. windowing function, group-by aggregate, pivot)
Ability and interest in translating highly complex and abstract concepts to internal and external stakeholders with minimum analytics knowledge
Our Offer To You:

Across the globe, we are united by a singular Purpose: Sustainability is no small ambition. That’s why everything we do is geared toward a sustainable future—for our generation and all those to come. Through groundbreaking innovations, we are reducing carbon emissions and improving energy efficiency in spaces of all sizes, from residential to commercial to industrial.
Our employees are our greatest strength. We believe that our culture of passion, openness, and collaboration empowers us to work toward the same goal - to make the world a better place. We invest in the end-to-end development of our people, beginning at onboarding and through senior leadership, so they can thrive personally and professionally.
Flexible and competitive benefits plans offer the right options to meet your individual/family needs: medical insurance plans, dental and vision coverage, 401(k), tuition reimbursement, and more. We provide employees with flexible time off plans, including paid parental leave (maternal and paternal), vacation and holiday leave.
Together, we have the opportunity – and the power – to continue to revolutionize the technology behind air conditioning, heating, and refrigeration, and cultivate a better future.",3.6,Copeland,"Sidney, OH",10000+ Employees,2023,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
8,"Data Scientist, Enterprise",$250K – $285K/yr (Employer est.),"Grammarly is excited to offer a remote-first hybrid working model. Team members work primarily remotely in the United States, Canada, Ukraine, Germany, or Poland. Certain roles have specific location requirements to facilitate collaboration at a particular Grammarly hub.
All roles have an in-person component: Conditions permitting, teams meet 2–4 weeks every quarter at one of Grammarly’s hubs in San Francisco, Kyiv, New York, Vancouver, and Berlin, or in a workspace in Kraków. This flexible approach gives team members the best of both worlds: plenty of focus time along with in-person collaboration that fosters trust and unlocks creativity.
Grammarly team members in this role must be based in the United States or Canada. They must be able to collaborate in person 3 weeks per quarter and travel if necessary to the hub(s) where the team is based.
The opportunity
Grammarly is the world’s leading AI writing assistance company, trusted by over 30 million people and 70,000 professional teams every day. From instantly creating a first draft to perfecting every message, Grammarly’s product offerings help people at 96% of the Fortune 500 get their point across—and get results. Grammarly has been profitable for over a decade because we’ve stayed true to our values and built an enterprise-grade product that’s secure, reliable, and helps people do their best work—without selling their data. We’re proud to be one of Inc.’s best workplaces, a Glassdoor Best Place to Work, one of TIME’s 100 Most Influential Companies, and one of Fast Company’s Most Innovative Companies in AI.
We’re looking for a Data Scientist to join our growing Data team and community to achieve our ambitious goals. This role is part of the newly developed Enterprise Data Science team at Grammarly, which supports our Enterprise business, including our entire Sales funnel. This person will be a strategic thought leader in marketing, demand generation, revenue operations, sales development, product engineering, and customer success. The ideal candidate will have a strong track record of delivering impactful data science projects within the B2B space and is familiar with the enterprise buyer sales process and flows.
The Grammarly data teams are trusted subject matter experts who uncover new insights to inform marketing, product, and growth strategies that drive outcomes at the highest levels of the company. We have large datasets and are looking for folks with deep technical and analytical skills who can break down complex business problems and provide solutions with high visibility and impact for the company.
Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap. The complexity of our technical challenges is growing rapidly as we scale our interfaces, algorithms, and infrastructure. You can hear more from our team on our technical blog.
Your impact
As a Data Scientist, you will:
Leverage various data science methods such as machine learning, statistical modeling, and causal inference to understand Enterprise account behavior and optimize the product experience.
Focus on some of the most challenging and critical data problems at our company today, which will directly impact Grammarly’s future growth.
Enhance user signals and build quality lead-scoring models to optimize our lead pipeline.
Design and evaluate experiments to measure lead identification, sales processes, and enterprise product feature set improvements.
Build a strong signal and understanding of account renewal risk and expansion opportunities.
Work with your teams to determine North Star and operational metrics that monitor key performance areas and are leading indicators of future success.
Generate ideas to creatively leverage data for shaping future sales processes and product roadmaps.
Take on a broad and challenging scope of work in a rapidly evolving company.
Recruit, guide, and mentor junior and mid-level Data Scientists to create a best-in-class Data Science organization.
Collaborate with other data scientists to continue to enhance the methodologies and practices used across the team to leverage the newest technological developments in the industry.

We’re looking for someone who
Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable.
Is inspired by our MOVE principles, which are the blueprint for how things get done at Grammarly: move fast and learn faster, obsess about creating customer value, value impact over activity, and embrace healthy disagreement rooted in trust.
Is able to collaborate in person 3 weeks per quarter, traveling when necessary to the hub where the team is based.
Holds a PhD or master’s degree in a quantitative field.
Has 6+ years of relevant work experience with a proven track record of applying data science methods that drive impact within the B2B space.
Is fluent in SQL and has strong data exploration and manipulation skills.
Is proficient in Python, R, or similar programming language.
Has experience building machine learning models and know the proper methods to evaluate their effectiveness.
Familiar with the Enterprise sales process and funnel across pre-sales, sales discovery, and post-sales.
Has firm knowledge of experiment design and can translate business questions into sound experimental frameworks and measurement plans.
Has a self-starting growth mindset and strong communication skills, translating technical insights into impactful business recommendations.
Is a creative problem-solver who simplifies problems to their core elements.
Bonus points for:
Hands-on experience applying data science techniques in the B2B space, including but not limited to lead signal identification and scoring (user and account level), outreach optimization, account renewal, and expansion modeling.
Current or prior data science experience at a B2B company.
Support for you, professionally and personally
Professional growth: We believe that autonomy and trust are key to empowering our team members to do their best, most innovative work in a way that aligns with their interests, talents, and well-being. We support professional development and advancement with training, coaching, and regular feedback.
A connected team: Grammarly builds a product that helps people connect, and we apply this mindset to our own team. Our remote-first hybrid model enables a highly collaborative culture supported by our EAGER (ethical, adaptable, gritty, empathetic, and remarkable) values. We work to foster belonging among team members in a variety of ways. This includes our employee resource groups, Grammarly Circles, which promote connection among those with shared identities, such as BIPOC and LGBTQIA+ team members, women, and parents. We also celebrate our colleagues and accomplishments with global, local, and team-specific programs.
Compensation and benefits
Grammarly offers all team members competitive pay along with a benefits package encompassing the following and more:
Excellent health care (including a wide range of medical, dental, vision, mental health, and fertility benefits)
Disability and life insurance options
401(k) and RRSP matching
Paid parental leave
Twenty days of paid time off per year, eleven days of paid holidays per year, and unlimited sick days
Home office stipends
Caregiver and pet care stipends
Wellness stipends
Admission discounts
Learning and development opportunities
Grammarly takes a market-based approach to compensation, which means base pay may vary depending on your location. Our US and Canada locations are categorized into compensation zones based on each geographic region’s cost of labor index. . If a location of interest is not listed, please speak with a recruiter for additional information.
Base pay may vary considerably depending on job-related knowledge, skills, and experience. The expected salary ranges for this position are outlined below by compensation zone and may be modified in the future.
United States:
Zone 1 $250,000 - $285,000/year (USD)
Zone 2: $225,000 - $257,000/year (USD)
Canada:
Zone 1: $183,000 - $231,000/year (CAD)
Zone 2: $158,000 - $208,000/year (CAD)
We encourage you to apply
At Grammarly, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of race, religion, color, gender expression or identity, sexual orientation, ancestry, national origin, citizenship, age, marital status, veteran status, disability status, political belief, or any other characteristic protected by law. Grammarly is an equal opportunity employer and a participant in the US federal E-Verify program (US). We also abide by the Employment Equity Act (Canada).
Please note that EEOC is optional and specific to US-based candidates.
#LI-Hybrid
All team members meeting in person for official Grammarly business or working from a hub location are strongly encouraged to be vaccinated against COVID-19.",4.1,"Grammarly, Inc.",United States,501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
9,Senior Data Scientist – Digital Analytics,$95K – $127K/yr (Glassdoor est.),"Description
Summary:
Our Enterprise Data and Analytics team is growing, and we're looking for an outstanding Senior Data Scientist to join our team. At Huntington, you will leverage machine learning, segmentation, and statistical inference on huge data sets to improve how we understand our customers and the communities we serve. Our goal is to be the Best performing Regional Bank in America, and we need data and analytics to meet that goal. As we advance our data science and analytics capabilities, we want experts in modeling complex business problems and discovering business insights using statistical, algorithmic, mining, and visualization techniques. The Senior Data Scientist contributes to building and developing the organization’s data infrastructure and supports the senior leadership with insights, management reports, and analysis for decision-making processes.
Duties and Responsibilities:
Performs advanced analytics methods to extract value from business data.
Performs large-scale experimentation and build data-driven models to answer business questions.
Conducts research on cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence.
Determines requirements that will be used to train and evolve deep learning models and algorithms.
Articulates a vision and roadmap for the exploitation of data as a valued corporate asset.
Influences product teams through presentation of data-based recommendations.
Evangelizes best practices to analytics and products teams.
Owns the entire model development process, from identifying the business requirements, data sourcing, model fitting, presenting results, and production scoring.
Performs other duties as assigned.
Basic Qualifications:
Master’s Degree in computer science, statistics, economics or related fields
3+ years of work and/or educational experience in machine learning or cloud computing, experience using statistics and machine learning to solve complex business problems, experience conducting statistical analysis with advanced statistical software, experience scripting languages, and packages, experience building and deploying predictive models, experience web scraping, and scalable data pipelines and experience with big data analysis tools and techniques.
Preferred Qualifications:
Up-to-date knowledge of machine learning and data analytics tools and techniques
Strong knowledge in predictive modeling methodology
Experienced at leveraging both structured and unstructured data sources
Willingness and ability to learn new technologies on the job
Demonstrated ability to communicate complex results to technical and non-technical audiences
Demonstrated ability to work effectively in teams as well as independently across multiple tasks while meeting aggressive timelines
Strategic, intellectually curious thinker with focus on outcomes
Professional image with the ability to form relationships across functions
Strong experience with R/RStudio, Python, SAS, SQL, NoSQL
Strong experience with Cloud Machine Learning technologies (e.g., AWS Sagemaker)
Strong experience with machine learning environments (e.g., TensorFlow, scikit-learn, caret)
Strong understanding of statistical methods and skills such as Bayesian Networks Inference, linear and non-linear regression, hierarchical, mixed models/multi-level modeling
Financial Services background
#LI-Hybrid
#LI-MH1

Exempt Status: (Yes = not eligible for overtime pay) (No = eligible for overtime pay)
Yes
Workplace Type:
Huntington is an equal opportunity and affirmative action employer and is committed to providing equal employment opportunities for all regardless of race, color, religion, sex, national origin, age, disability, sexual orientation, veteran status, gender identity and expression, genetic information, or any other basis protected by local, state, or federal law.
Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details.
Agency Statement: Huntington does not accept solicitation from Third Party Recruiters for any position",3.6,Huntington Bank,"Columbus, OH",10000+ Employees,1866,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
